"Location","Education","Years of Experience","Percentile","Salary"
"Salt Lake City","Bachelors Degree",7,"50th",94000
"Salt Lake City","Bachelors Degree",8,"50th",97000
"Salt Lake City","Bachelors Degree",9,"50th",99000
"Salt Lake City","Bachelors Degree",10,"50th",102000
"Salt Lake City","Graduate Degree",0,"50th",84000
"Salt Lake City","Graduate Degree",1,"50th",86000
"Salt Lake City","Graduate Degree",2,"50th",89000
"Salt Lake City","Graduate Degree",3,"50th",91000
"Salt Lake City","Graduate Degree",4,"50th",93000
"Salt Lake City","Graduate Degree",5,"50th",95000
"Salt Lake City","Graduate Degree",6,"50th",98000
"Salt Lake City","Graduate Degree",7,"50th",1e+05
"Salt Lake City","Graduate Degree",8,"50th",103000
"Salt Lake City","Graduate Degree",9,"50th",105000
"Salt Lake City","Graduate Degree",10,"50th",108000
"Salt Lake City","Post-Graduate Degree",0,"50th",84000
"Salt Lake City","Post-Graduate Degree",1,"50th",86000
"Salt Lake City","Post-Graduate Degree",2,"50th",89000
"Salt Lake City","Post-Graduate Degree",3,"50th",91000
"Salt Lake City","Post-Graduate Degree",4,"50th",93000
"Salt Lake City","Post-Graduate Degree",5,"50th",95000
"Salt Lake City","Post-Graduate Degree",6,"50th",98000
"Salt Lake City","Post-Graduate Degree",7,"50th",1e+05
"Salt Lake City","Post-Graduate Degree",8,"50th",103000
"Salt Lake City","Post-Graduate Degree",9,"50th",105000
"Salt Lake City","Post-Graduate Degree",10,"50th",108000
"Houston","Less than Bachelors",0,"50th",73000
"Houston","Less than Bachelors",1,"50th",75000
"Houston","Less than Bachelors",2,"50th",76000
"Houston","Less than Bachelors",3,"50th",78000
"Houston","Less than Bachelors",4,"50th",80000
"Houston","Less than Bachelors",5,"50th",82000
"Houston","Less than Bachelors",6,"50th",85000
"Houston","Less than Bachelors",7,"50th",87000
"Houston","Less than Bachelors",8,"50th",89000
"Houston","Less than Bachelors",9,"50th",91000
"Houston","Less than Bachelors",10,"50th",93000
"Houston","Bachelors Degree",0,"50th",79000
"Houston","Bachelors Degree",1,"50th",81000
"Houston","Bachelors Degree",2,"50th",83000
"Houston","Bachelors Degree",3,"50th",85000
"Houston","Bachelors Degree",4,"50th",87000
"Houston","Bachelors Degree",5,"50th",90000
"Houston","Bachelors Degree",6,"50th",92000
"Houston","Bachelors Degree",7,"50th",94000
"Houston","Bachelors Degree",8,"50th",97000
"Houston","Bachelors Degree",9,"50th",99000
"Houston","Bachelors Degree",10,"50th",102000
"Houston","Graduate Degree",0,"50th",84000
"Houston","Graduate Degree",1,"50th",86000
"Houston","Graduate Degree",2,"50th",89000
"Houston","Graduate Degree",3,"50th",91000
"Houston","Graduate Degree",4,"50th",93000
"Houston","Graduate Degree",5,"50th",95000
"Houston","Graduate Degree",6,"50th",98000
"Houston","Graduate Degree",7,"50th",1e+05
"Houston","Graduate Degree",8,"50th",103000
"Houston","Graduate Degree",9,"50th",105000
"Houston","Graduate Degree",10,"50th",108000
"Houston","Post-Graduate Degree",0,"50th",84000
"Houston","Post-Graduate Degree",1,"50th",86000
"Houston","Post-Graduate Degree",2,"50th",89000
"Houston","Post-Graduate Degree",3,"50th",91000
"Houston","Post-Graduate Degree",4,"50th",93000
"Houston","Post-Graduate Degree",5,"50th",95000
"Houston","Post-Graduate Degree",6,"50th",98000
"Houston","Post-Graduate Degree",7,"50th",1e+05
"Houston","Post-Graduate Degree",8,"50th",103000
"Houston","Post-Graduate Degree",9,"50th",105000
"Houston","Post-Graduate Degree",10,"50th",108000
"San Francisco","Less than Bachelors",0,"50th",105000
"San Francisco","Less than Bachelors",1,"50th",108000
"San Francisco","Less than Bachelors",2,"50th",110000
"San Francisco","Less than Bachelors",3,"50th",113000
"San Francisco","Less than Bachelors",4,"50th",116000
"San Francisco","Less than Bachelors",5,"50th",119000
"San Francisco","Less than Bachelors",6,"50th",122000
"San Francisco","Less than Bachelors",7,"50th",125000
"San Francisco","Less than Bachelors",8,"50th",128000
"San Francisco","Less than Bachelors",9,"50th",132000
"San Francisco","Less than Bachelors",10,"50th",135000
"San Francisco","Bachelors Degree",0,"50th",114000
"San Francisco","Bachelors Degree",1,"50th",117000
"San Francisco","Bachelors Degree",2,"50th",120000
