state,school_name,school_location,program_name,program_url
Michigan,Eastern Michigan University,"Ypsilanti, Michigan",Graduate Certificate in Healthcare Informatics,http://catalog.emich.edu/preview_program.php?catoid=24&poid=11519&returnto=4952
Michigan,Grand Valley State University,"Allendale, Michigan",Master of Science in Biostatistics,http://www.gvsu.edu/grad/biostats/
Michigan,Michigan State University,"East Lansing, Michigan",M.S. - Business Analytics,http://broad.msu.edu/businessanalytics/
Michigan,Michigan Technological University,"Houghton, Michigan",Certificate in Data Science,http://www.mtu.edu/data-science/graduate/certificate/
Michigan,Oakland University,"Rochester Hills, Michigan",Master of Science in Information Technology Management in Business Analytics,https://www.oakland.edu/business/graduate-executive-programs/msitm/
Michigan,University of Michigan-Ann Arbor,"Ann Arbor, Michigan",Graduate Data Science (DS) Certificate Program,http://midas.umich.edu/certificate/
Michigan,University of Michigan-Dearborn,"Dearborn, Michigan",Master of Science in Business Analytics,http://umdearborn.edu/cob/ms-business-analytics/
Michigan,Wayne State University,"Detroit, Michigan",Master of Science in Data Science and Business Analytics,https://engineering.wayne.edu/data-analytics/programs/ms.php
Minnesota,Saint Mary's University of Minnesota,"Winona, Minnesota",Master of Science in Business Intelligence and Data Analytics,http://onlineprograms.smumn.edu/msbida/masters-in-business-intelligence-and-analytics
Minnesota,The College of Saint Scholastica,"Duluth, Minnesota",Health Informatics Certificate,http://www.css.edu/graduate/masters-doctoral-and-professional-programs/areas-of-study/ms-health-information-management/health-informatics-certificate.html
Minnesota,University of Minnesota-Twin Cities,"Minneapolis, Minnesota",Doctor of Philosophy in Health Informatics,https://healthinformatics.umn.edu/education-training/graduate-programs/phd-program
Minnesota,University of St. Thomas,"Saint Paul, Minnesota",Graduate Certificate in Big Data,http://www.stthomas.edu/gradsoftware/programs/gradcerts/cbd/
Mississippi,Delta State University,"Cleveland, Mississippi",Master of Applied Science in Geospatial Information Technologies,http://www.deltastate.edu/artsandsciences/biological-sciences/programs/mas-git/
Mississippi,Jackson State University,"Jackson, Mississippi",Ph.D. in Computational and Data-Enabled Science and Engineering,http://www.jsums.edu/gip/cdese/
Mississippi,Mississippi State University,"Mississippi State, Mississippi",Certificate in Computational Biology,http://www.igbb.msstate.edu/certificate.php
Mississippi,Mississippi Valley State University,"Itta Bena, Mississippi",Master of Science in Bioinformatics,https://www.mvsu.edu/academics/academic-programs/arts-sciences/departments/natural-sciences-environmental-health/graduate/ms-bioinformatics/admissions
Mississippi,University of Mississippi Medical Center,"Jackson, Mississippi",Master of Science in Biostatistics and Data Science,https://www.umc.edu/SoPH/Departments-and-Faculty/Data-Science/Education/MS-Biostatistics-and-Data-Science/Overview.html
