"","Title","Date","Location","Price","Bedrooms","Link","Zipcode"
"60","Dobbs Ferry/Three bedrooms","Dec 16"," (Ridge Road)","$2750","
                    3br -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-dobbs-ferry-three-bedrooms/6773978813.html","10522"
"61","Two Bedrooms w/ Fireplace Dobbs Ferry","Dec 14"," (Dobbs Ferry)","$2400","
                    2br -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-two-bedrooms-fireplace/6772489903.html","10522"
"62","Unique Cottage Two Levels One Bedroom 1.5 Baths","Dec 14"," (Dobbs Ferry)","$1700","
                    1br -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-unique-cottage-two-levels/6772462620.html","10522"
"63","WHAT A VIEW!  ONE BEDROOM  - CLOSE TO METRO NORTH - PRIVATE DECK","Dec 14"," (Dobbs Ferry)","$1950","
                    1br -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-what-view-one-bedroom-close/6772458519.html","10522"
"64","Dobbs Ferry & vicinity *Best selection of rentals in the River towns*","Dec 13","character(0)","$2000","character(0)","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-dobbs-ferry-vicinity-best/6772046187.html","10522"
"65","In The Heart Of dobbs ferry c.. Just reduced A Most See!!,","Dec 10"," (10522)","$1880","
                    1br -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-in-the-heart-of-dobbs-ferry/6769548786.html","10522"
"66","DOG..CAT..OK*HALF MONTH FREE RENT*HUGE*LAUNDRY*CLOSE TO RR /SHOPS*","Dec  7"," (DOBBS FERRY)","$1795","
                    1br -
                    1000ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-dogcatokhalf-month-free/6766885839.html","10522"
"67","Dobbs Ferry/One bedroom","Dec  6"," (Broadway)","$1800","character(0)","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-dobbs-ferry-one-bedroom/6766107752.html","10522"
"68","WHAT A VIEW!  ONE BEDROOM  - CLOSE TO METRO NORTH - PRIVATE DECK","Dec  4"," (Dobbs Ferry)","$1950","
                    1br -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-what-view-one-bedroom-close/6764958616.html","10522"
"69","DOGS,CATS,PET,OK*HUGE*RIVER VIEW*SPACIOUS*LAUNDRY*BUILDING*CLOSE TO RR","Dec  4"," (DOBBS FERRY)","$2325","
                    2br -
                    1100ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-dogscatspetokhugeriver/6764371603.html","10522"
"70","ALL PETS OK*SPACIOUS*CHARMING BUILDING*LAUNDRY*CLOSE TO RR/SHOPS","Dec  3"," (DOBBS FERRY)","$1795","
                    1br -
                    1000ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-all-pets-okspaciouscharming/6763536639.html","10522"
"71","ALL PETS OK*SPACIOUS*CHARMING BUILDING*LAUNDRY*CLOSE TO RR/SHOPS","Nov 28"," (DOBBS FERRY)","$1795","
                    1br -
                    1000ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-all-pets-okspaciouscharming/6759618424.html","10522"
"72","Dobbs Ferry & vicinity*Best selection of rentalsin the Rivertowns*","Nov 26","character(0)","$1650","character(0)","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-dobbs-ferry-vicinitybest/6758186278.html","10522"
"73","Charming 1927 Arts & Crafts House in Dobbs Ferry","Nov 26"," (Dobbs Ferry, NY)","$3200","
                    3br -
                    1069ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-charming-1927-arts-crafts/6757846339.html","10522"
"74","ALL PETS OK.DOGS.CATS*RIVER VIEW*SPACIOUS*LAUNDRY*BUILDING*CLOSE TO RR","Nov 26"," (DOBBS FERRY)","$2325","
                    2br -
                    1100ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-all-pets-okdogscatsriver/6757748982.html","10522"
"75","ALL PETS OK*SPACIOUS*CHARMING BUILDING*LAUNDRY*CLOSE TO RR/SHOPS","Nov 26"," (DOBBS FERRY)","$1800","
                    1br -
                    1000ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-all-pets-okspaciouscharming/6757744595.html","10522"
"76","2 Bed - 1 Bath, On-Site Management, Upgraded Apartments","Dec 23"," (Elmsford)","$2125","
                    2br -
                    828ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-2-bed-1-bath-on-site/6772736215.html","10523"
"77","1 Bed - 1 Bath, Major Employer Discount, W/D in Unit","Dec 23"," (Elmsford)","$1775","
                    1br -
                    652ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-1-bed-1-bath-major-employer/6773191078.html","10523"
"78","1 Bed - 1 Bath, Valet Dry Cleaning, On-Site Management","Dec 23","character(0)","$1775","
                    1br -
                    652ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-1-bed-1-bath-valet-dry/6771700554.html","10523"
"79","1 Bed - 1 Bath, Wall-to-Wall Carpeting, Stainless Steel Appliances","Dec 23","character(0)","$1775","
                    1br -
                    652ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-1-bed-1-bath-wall-to-wall/6774560772.html","10523"
"80","2 Bed - 1.5 Bath, Stainless Steel Appliances, On-Site Management","Dec 23","character(0)","$2200","
                    2br -
                    934ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-2-bed-15-bath-stainless-steel/6762082693.html","10523"
"81","""1 Bed - 1 Bath, Pet Friendly, 24/7 Emergency Maintenance","Dec 23","character(0)","$1775","
                    1br -
                    652ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-1-bed-1-bath-pet-friendly-24-7/6767701700.html","10523"
"82","""1 Bed - 1 Bath, Dry Cleaning Service, 24/7 Emergency Maintenance!","Dec 23"," (Elmsford)","$1775","
                    1br -
                    652ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-1-bed-1-bath-dry-cleaning/6769118699.html","10523"
"83","2 Bed - 1 Bath, On-Site Management, Pet Friendly","Dec 23"," (Elmsford)","$2125","
                    2br -
                    828ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/elmsford-2-bed-1-bath-on-site/6771875768.html","10523"
