month_date_yyyymm,postal_code,zip_name,city,state,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,cbsa_name,cbsa_zip_name
2020-11-01,85085,"phoenix, az",phoenix,az,5409,956,1215,3516,85.999836,96.00228908,75.99738391,27.5,-0.2143,-7.5,-0.4022,-18.5,-30,-0.0339,1.9919,1.5205,468500,0.001,0.0462,1.3451,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85008,"phoenix, az",phoenix,az,407,3418,60,-1730,67.086331,96.91792021,37.25474166,26,-0.1034,-3,-0.381,-16,-31.5,-0.2031,0.1209,0.8361,329216.5,-0.0541,0.0322,0.9452,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85037,"phoenix, az",phoenix,az,2275,561,832,508,90.210105,93.32079791,87.09941138,30.5,-0.1528,-5.5,-0.1286,-4.5,-27,-0.1016,1.3469,1.8852,272500,0.0281,0.185,0.7823,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85050,"phoenix, az",phoenix,az,3420,902,1745,889,86.633421,94.85775016,78.40909091,29,-0.2162,-8,-0.3958,-19,-28.5,0.0321,0.93,1.582,477550,-0.1549,0.0997,1.3711,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85015,"phoenix, az",phoenix,az,1925,3918,-290,-1806,63.808044,87.43459778,40.18149117,35,0.25,7,-0.0789,-3,-22.5,-0.1116,0.3438,0.8811,277550,-0.0719,0.0886,0.7968,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85020,"phoenix, az",phoenix,az,1569,3251,901,1174,68.189993,83.04447351,53.33551341,37.5,0.0135,0.5,-0.3421,-19.5,-20,-0.0709,0.6582,1.0738,440000,0.207,0.3054,1.2633,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85016,"phoenix, az",phoenix,az,1068,6584,-495,763,48.901875,66.07577065,31.72797866,42,0,0,-0.2632,-15,-11,-0.1368,0.6694,0.7426,510050,0.0313,0.0304,1.4576,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85022,"phoenix, az",phoenix,az,383,1734,-307,293,79.406228,96.94093654,61.87151933,21,-0.25,-7,-0.475,-19,-32,-0.239,0.754,1.2059,349950,0.0308,-0.1347,1,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85027,"phoenix, az",phoenix,az,1540,1044,-511,-745,85.026277,90.67377834,79.37877481,28,0.3023,6.5,-0.082,-2.5,-25,-0.2087,0.5912,1.6029,280050,0.0419,0.1213,0.8002,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85033,"phoenix, az",phoenix,az,2034,2071,-446,979,76.73543,84.75958899,68.71127147,32,-0.0725,-2.5,-0.1111,-4,-21,-0.2385,1.5103,1.3382,237950,0.0123,0.1358,0.6799,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85017,"phoenix, az",phoenix,az,3244,3921,-1213,-2676,64.75802,79.66899365,49.84704683,35,0.129,4,0.3462,9,-18,-0.1893,0.4811,1.0074,230050,0,0.0952,0.6573,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85043,"phoenix, az",phoenix,az,3841,2332,576,2746,74.876461,90.67377834,59.07914346,28,0.1667,4,-0.3636,-16,-25,0.0903,1.512,1.1544,280050,-0.0225,0.1525,0.8002,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85004,"phoenix, az",phoenix,az,12132,9147,-1214,-2395,32.90062,50.14510942,15.65612989,50,0.2346,9.5,-0.0099,-0.5,-3,0.0294,0.2174,0.5147,379950,0.106,0.1872,1.0857,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85044,"phoenix, az",phoenix,az,967,1774,557,-507,79.03365,79.66899365,78.39830575,35,-0.0541,-2,-0.0909,-3.5,-18,-0.0115,1.0094,1.5735,389050,0.0173,0.0237,1.1117,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85054,"phoenix, az",phoenix,az,10739,9522,-2030,-4697,30.257275,33.586948,26.92760216,62,0.2525,12.5,0.55,22,9,-0.1858,0.5207,0.6765,365050,0.0581,-0.1884,1.0432,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85029,"phoenix, az",phoenix,az,1102,1974,-1602,-105,77.44529,87.6774649,67.21311475,30,0.6667,12,-0.2208,-8.5,-23,-0.3851,0.9037,1.3088,250049,0.0103,-0.0175,0.7145,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85083,"phoenix, az",phoenix,az,6714,1413,-350,703,81.931916,84.75958899,79.10424347,32,0.0159,0.5,-0.2381,-10,-21,-0.1918,1.2842,1.5956,539950,0.0692,0.2078,1.543,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85040,"phoenix, az",phoenix,az,4774,3758,-1001,-2567,65.648286,70.20158444,61.09498784,40,0.1594,5.5,0.5094,13.5,-13,-0.1074,0.7234,1.1912,239950,-0.0105,0.0904,0.6856,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85021,"phoenix, az",phoenix,az,1551,3494,-1257,2883,67.260177,82.50843203,52.0119225,34,0.0462,1.5,-0.3585,-19,-19,-0.2713,1.2205,1.0368,459950,-0.0317,-0.0517,1.3144,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85023,"phoenix, az",phoenix,az,2086,1674,108,-543,79.927837,83.88108871,75.97458624,33,-0.0704,-2.5,-0.0833,-3,-20,-0.1368,0.9431,1.5074,319050,-0.0185,-0.0548,0.9117,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85018,"phoenix, az",phoenix,az,1254,4824,55,2075,59.079143,63.61283238,54.54545455,43,0,0,-0.2893,-17.5,-10,-0.0299,1.1314,1.0735,1050050,-0.0929,0.262,3.0009,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85037,"phoenix, az",phoenix,az,2275,1393,426,-766,82.026041,77.05702408,86.99505844,36,0.0141,0.5,0.6364,14,-17,0.0917,1.4038,1.8824,265050,0.0293,0.1942,0.7574,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85042,"phoenix, az",phoenix,az,2049,2916,-331,-1445,70.958507,86.18715193,55.72986117,31,-0.1268,-4.5,0.1923,5,-22,-0.2359,0.7029,1.0956,349950,-0.084,-0.0072,1,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85006,"phoenix, az",phoenix,az,4953,7755,-367,-2411,41.893482,63.61283238,20.1741313,43,0.0361,1.5,0.1169,4.5,-10,-0.076,0.4495,0.5809,375050,0.0431,0.0907,1.0717,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85008,"phoenix, az",phoenix,az,407,3478,-333,-283,67.35038,88.9638403,45.73692054,29,-0.0169,-0.5,-0.3333,-14.5,-24,-0.1438,0.5706,0.9412,348050,0.0014,0.0978,0.9946,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85050,"phoenix, az",phoenix,az,3420,2647,-1227,-258,72.731195,74.86077339,70.60161581,37,0.2982,8.5,-0.1294,-5.5,-16,-0.1442,1.0663,1.375,565050,0.0275,0.2152,1.6147,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85013,"phoenix, az",phoenix,az,4529,3890,-293,1007,64.930583,84.75958899,45.10157659,32,-0.0448,-1.5,-0.3118,-14.5,-21,-0.1419,0.8955,0.9338,399050,-0.0011,0.222,1.1403,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85053,"phoenix, az",phoenix,az,3586,647,-160,503,88.861872,86.18715193,91.53659111,31,0.1481,4,0.1698,4.5,-22,-0.1066,2.0421,2.125,299050,0.0603,0.1502,0.8545,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85028,"phoenix, az",phoenix,az,5310,1614,-148,2013,80.390619,92.36018511,68.42105263,27,0.0385,1,-0.4,-18,-26,-0.1214,1.3057,1.3309,515050,0.005,0.1979,1.4718,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85035,"phoenix, az",phoenix,az,2967,2199,NA,164,75.707899,83.88108871,67.5347086,33,0.082,2.5,0.1579,4.5,-20,0.0377,1.3867,1.3162,239050,0.0063,0.1381,0.6831,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85007,"phoenix, az",phoenix,az,8167,6478,-1607,-584,49.501922,50.14510942,48.85873402,50,0.2987,11.5,-0.0741,-4,-3,0.0227,0.9565,0.9926,479050,0.0646,0.4303,1.369,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85086,"phoenix, az",phoenix,az,1700,1561,-259,375,80.837713,79.66899365,82.00643188,35,0.0145,0.5,-0.2632,-12.5,-18,-0.1503,1.0356,1.6838,525050,-0.0141,0.0607,1.5004,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Anthem, AZ"
2020-10-01,85041,"phoenix, az",phoenix,az,1098,2442,-554,-1804,74.131304,73.08808534,75.17452349,38,0.0704,2.5,0.3818,10.5,-15,-0.1236,0.8532,1.4853,285050,-0.0138,0,0.8145,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85048,"phoenix, az",phoenix,az,2580,2167,50,-865,75.986352,79.66899365,72.30371009,35,-0.0541,-2,-0.0909,-3.5,-18,-0.1332,0.8199,1.4118,540710,-0.0709,0.2589,1.5452,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85032,"phoenix, az",phoenix,az,90,1754,-486,-561,79.178759,87.6774649,70.68005334,30,-0.0909,-3,-0.1892,-7,-23,-0.2794,0.7725,1.375,349950,0.0446,0.1379,1,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85085,"phoenix, az",phoenix,az,5409,2171,-160,1886,75.970664,79.66899365,72.27233509,35,0.1111,3.5,0.0769,2.5,-18,-0.0376,2.2,1.4118,468040,0.0698,0.022,1.3375,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-10-01,85009,"phoenix, az",phoenix,az,2815,1901,2531,536,78.013962,86.18715193,69.84077183,31,-0.225,-9,-0.1622,-6,-22,0.2333,1.2699,1.3603,230050,0.0134,0.2795,0.6573,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
